Heartrate
57
58
56
54
54
54
52
51
50
48
47
47
46
47
50
48
46
47
47
45
49
50
47
46
44
44
47
49
47
50
48
45
46
48
46
52
53
53
52
68
60
58
57
73
53
70
61
61
60
71
78
91
100
79
113
69
92
63
58
67
55
59
56
56
68
56
54
55
56
63
67
59
60
74
67
56
64
57
53
65
56
55
61
61
79
60
57
58
60
61
58
58
58
56
55
50
49
46
48
47
50
48
50
49
47
46
47
44
44
43
45
47
46
43
40
42
43
45
47
43
42
41
42
45
49
52
53
66
78
68
71
80
63
56
57
67
64
59
52
50
56
55
60
59
60
94
56
54
59
56
52
49
63
96
85
55
52
54
59
59
75
52
55
52
51
54
52
51
63
71
83
65
62
64
64
63
59
57
61
63
64
63
62
59
52
55
59
50
49
56
51
50
49
48
50
47
45
44
48
49
47
49
48
46
46
47
50
47
48
47
46
46
49
51
47
48
46
45
47
50
52
54
58
63
59
61
67
57
67
69
61
72
61
60
63
58
59
57
60
58
53
63
65
65
62
61
64
65
65
65
62
63
64
63
63
64
59
59
58
57
59
64
62
67
62
63
67
72
87
78
70
62
64
60
64
67
74
82
77
72
74
76
69
65
78
89
67
64
61
58
57
53
53
53
54
57
57
55
53
51
55
55
56
54
51
54
50
51
56
55
50
48
49
50
54
52
51
50
57
60
85
70
61
64
61
61
60
63
62
60
59
57
55
58
60
55
57
55
55
65
68
60
54
57
57
61
62
65
57
54
63
56
55
55
56
54
57
57
54
56
60
62
59
83
83
78
63
58
66
73
59
66
63
57
63
65
58
57
54
57
57
55
55
55
57
59
62
59
59
55
55
51
53
53
51
52
51
49
52
53
51
50
58
75
79
59
57
59
61
59
64
63
70
90
79
67
64
62
60
59
56
55
59
59
91
79
76
58
59
56
57
56
62
61
71
66
66
64
62
63
68
65
63
66
66
62
66
63
64
67
64
82
64
61
64
68
66
84
91
72
74
68
79
75
67
71
77
95
63
60
60
61
89
70
59
62
59
62
57
58
56
57
59
62
66
59
54
55
55
59
55
52
53
53
60
58
56
53
52
53
56
56
52
53
51
54
54
54
69
70
65
78
70
65
69
69
63
63
61
52
48
66
66
63
73
65
58
60
73
82
81
71
62
59
74
77
76
70
76
76
62
70
71
70
68
88
65
60
61
63
61
63
69
68
73
74
70
77
73
73
74
75
77
86
72
85
77
77
71
67
70
68
61
59
61
61
62
61
56
57
60
59
57
55
54
53
53
52
54
56
54
53
58
51
50
50
53
59
70
84
78
73
66
81
60
62
66
63
58
60
59
64
68
68
68
67
65
62
56
65
73
72
66
73
91
71
63
72
87
91
82
89
76
92
101
83
94
91
85
83
82
86
86
99
88
89
82
74
78
79
70
65
67
74
78
59
65
54
62
62
65
78
70
67
64
69
67
66
67
66
68
64
66
62
59
56
58
64
60
57
55
54
54
57
55
56
55
51
48
50
52
54
52
50
50
56
59
56
61
70
57
53
55
58
71
60
61
70
59
60
60
62
65
64
59
85
83
69
66
72
74
81
82
67
64
84
74
63
77
74
73
94
99
129
87
72
70
70
82
92
90
85
77
78
84
84
81
82
81
78
88
74
76
69
72
72
68
60
61
65
63
59
61
59
59
